Attachmentname,Slot,WeaponUnlock,Points
LDS 4.50X,Scope,KTS100 MK8,10
ST PRISIM 5.00X,Scope,KTS100 MK8,10
SF-G2 5.00X,Scope,KTS100 MK8,10
MARS-F LPVO,Scope,KTS100 MK8,25
MC-CO LPVO,Scope,KTS100 MK8,25
DVO LPVO,Scope,KTS100 MK8,25
GRIM 1.50X,Scope,KTS100 MK8,25
PAS-35 3.00X,Scope,KTS100 MK8,25
6H64 Vertical,Underbarrel,KTS100 MK8,25
Alloy Vertical,Underbarrel,KTS100 MK8,20
Bipod,Underbarrel,KTS100 MK8,10
Canted Stubby,Underbarrel,KTS100 MK8,30
Classic Grip Pod,Underbarrel,KTS100 MK8,30
Classic Vertical,Underbarrel,KTS100 MK8,35
Folding Stubby,Underbarrel,KTS100 MK8,20
Folding Vertical,Underbarrel,KTS100 MK8,10
Full Angled,Underbarrel,KTS100 MK8,25
Low-Profile Stubby,Underbarrel,KTS100 MK8,45
PTT Grip Pod,Underbarrel,KTS100 MK8,20
QD Grip Pod,Underbarrel,KTS100 MK8,30
Ribbed Stubby,Underbarrel,KTS100 MK8,30
Ribbed Vertical,Underbarrel,KTS100 MK8,20
Slim Angled,Underbarrel,KTS100 MK8,25
Stippled Stubby,Underbarrel,KTS100 MK8,35
FMJ,Ammunition,KV9,5
Tungsten Core,Ammunition,KV9,5
Hollow Point,Ammunition,KV9,20
Frangible,Ammunition,KV9,20
"5.5"" Factory",Barrel,KV9,10
"6.5"" Extended",Barrel,KV9,15
"5.5"" Fluted",Barrel,KV9,20
17RND Fast Mag,Magazine,KV9,10
17RND Magazine,Magazine,KV9,5
23RND Magazine,Magazine,KV9,25
27RND Magazine,Magazine,KV9,45
Compensated Brake,Muzzle,KV9,20
CQB Suppressor,Muzzle,KV9,30
Double-Port Brake,Muzzle,KV9,10
Flash Hider,Muzzle,KV9,10
Lightened Suppressor,Muzzle,KV9,30
Linear Comp,Muzzle,KV9,10
Long Suppressor,Muzzle,KV9,25
Single-Port Brake,Muzzle,KV9,5
Standard Suppressor,Muzzle,KV9,20
Canted Iron Sights,Optic Accessory,KV9,5
Canted Reflex,Optic Accessory,KV9,10
Flashlight,Right Accessory,KV9,10
Iron Sights,Scope,KV9,5
MINI FLEX 1.00X,Scope,KV9,10
R-MR 1.00X,Scope,KV9,10
OSA-7 1.00x,Scope,KV9,10
CQ RDS 1.25X,Scope,KV9,10
RO-S 1.25X,Scope,KV9,10
2PRO 1.25X,Scope,KV9,10
ROX 1.50X,Scope,KV9,10
SU-123 1.50X,Scope,KV9,10
1P87 1.50X,Scope,KV9,10
A-P2 1.75X,Scope,KV9,10
RO-M 1.75x,Scope,KV9,10
3VZR 1.75X,Scope,KV9,10
CCO 2.00x,Scope,KV9,10
R4T 2.00X,Scope,KV9,10
BF-2M 2.50x,Scope,KV9,10
BAKER 3.00X,Scope,KV9,10
SDO 3.50X,Scope,KV9,10
PVQ-31 4.00x,Scope,KV9,10
LDS 4.50X,Scope,KV9,10
ST PRISIM 5.00X,Scope,KV9,10
SF-G2 5.00X,Scope,KV9,10
MARS-F LPVO,Scope,KV9,25
GRIM 1.50X,Scope,KV9,25
PAS-35 3.00X,Scope,KV9,25
5 MW Red,Top Accessory,KV9,10
5 MW Green,Top Accessory,KV9,10
50 MW Green,Top Accessory,KV9,20
50 MW Blue,Top Accessory,KV9,20
120 MW Blue,Top Accessory,KV9,30
6H64 Vertical,Underbarrel,KV9,25
Alloy Vertical,Underbarrel,KV9,20
Canted Stubby,Underbarrel,KV9,30
Classic Vertical,Underbarrel,KV9,35
Compact Handstop,Underbarrel,KV9,10
Folding Stubby,Underbarrel,KV9,20
Folding Vertical,Underbarrel,KV9,10
Low-Profile Stubby,Underbarrel,KV9,45
Ribbed Stubby,Underbarrel,KV9,30
Ribbed Vertical,Underbarrel,KV9,20
Slim Angled,Underbarrel,KV9,20
Stippled Stubby,Underbarrel,KV9,35
FMJ,Ammunition,L110,5
Tungsten Core,Ammunition,L110,5
Hollow Point,Ammunition,L110,20
Frangible,Ammunition,L110,20
349MM SB,Barrel,L110,10
465MM LB,Barrel,L110,10
349MM Fluted,Barrel,L110,20
Flashlight,Left Accessory,L110,10
100RND Belt Pouch,Magazine,L110,5
200RND Belt Box,Magazine,L110,55
Compensated Brake,Muzzle,L110,20
CQB Suppressor,Muzzle,L110,30
Double-Port Brake,Muzzle,L110,10
Flash Hider,Muzzle,L110,10
Lightened Suppressor,Muzzle,L110,30
Linear Comp,Muzzle,L110,10
Long Suppressor,Muzzle,L110,25
Single-Port Brake,Muzzle,L110,5
Standard Suppressor,Muzzle,L110,20
Canted Iron Sights,Optic Accessory,L110,5
Canted Reflex,Optic Accessory,L110,10
5 MW Green,Right Accessory,L110,10
5 MW Red,Right Accessory,L110,10
50 MW Green,Right Accessory,L110,20
50 MW Blue,Right Accessory,L110,20
120 MW Blue,Right Accessory,L110,30
Iron Sights,Scope,L110,5
R4T 2.00X,Scope,L110,10
MINI FLEX 1.00X,Scope,L110,10
R-MR 1.00X,Scope,L110,10
OSA-7 1.00x,Scope,L110,10
CQ RDS 1.25X,Scope,L110,10
RO-S 1.25X,Scope,L110,10
2PRO 1.25X,Scope,L110,10
ROX 1.50X,Scope,L110,10
CCO 2.00x,Scope,L110,10
MC-CO LPVO,Scope,L110,25
A-P2 1.75X,Scope,L110,10
RO-M 1.75x,Scope,L110,10
1P87 1.50X,Scope,L110,10
3VZR 1.75X,Scope,L110,10
BF-2M 2.50x,Scope,L110,10
BAKER 3.00X,Scope,L110,10
SDO 3.50X,Scope,L110,10
PVQ-31 4.00x,Scope,L110,10
LDS 4.50X,Scope,L110,10
ST PRISIM 5.00X,Scope,L110,10
SF-G2 5.00X,Scope,L110,10
MARS-F LPVO,Scope,L110,25
SU-123 1.50X,Scope,L110,10
DVO LPVO,Scope,L110,25
GRIM 1.50X,Scope,L110,25
PAS-35 3.00X,Scope,L110,25
6H64 Vertical,Underbarrel,L110,25
Alloy Vertical,Underbarrel,L110,20
Bipod,Underbarrel,L110,10
Canted Stubby,Underbarrel,L110,30
Classic Grip Pod,Underbarrel,L110,30
Classic Vertical,Underbarrel,L110,35
Folding Stubby,Underbarrel,L110,20
Folding Vertical,Underbarrel,L110,10
Full Angled,Underbarrel,L110,25
Low-Profile Stubby,Underbarrel,L110,45
PTT Grip Pod,Underbarrel,L110,20
QD Grip Pod,Underbarrel,L110,30
Ribbed Stubby,Underbarrel,L110,30
Ribbed Vertical,Underbarrel,L110,20
Slim Angled,Underbarrel,L110,25
Stippled Stubby,Underbarrel,L110,35
FMJ,Ammunition,L85A3,5
Tungsten Core,Ammunition,L85A3,5
Polymer Case,Ammunition,L85A3,10
Hollow Point,Ammunition,L85A3,20
Frangible,Ammunition,L85A3,20
Synthetic Tip,Ammunition,L85A3,30
518MM Factory,Barrel,L85A3,10
646MM Cut,Barrel,L85A3,10
646MM Fluted,Barrel,L85A3,15
646MM LSW,Barrel,L85A3,10
442 MM CQB,Barrel,L85A3,15
518MM Fluted,Barrel,L85A3,20
Match Trigger,Ergonomics,L85A3,15
20RND Fast Mag,Magazine,L85A3,5
20RND Magazine,Magazine,L85A3,5
30RND Fast Mag,Magazine,L85A3,10
30RND Magazine,Magazine,L85A3,5
36RND Magazine,Magazine,L85A3,15
40RND Fast Mag,Magazine,L85A3,30
40RND Magazine,Magazine,L85A3,25
45RND Fast Mag,Magazine,L85A3,40
45RND Magazine,Magazine,L85A3,35
Compensated Brake,Muzzle,L85A3,20
CQB Suppressor,Muzzle,L85A3,30
Double-Port Brake,Muzzle,L85A3,10
Flash Hider,Muzzle,L85A3,10
Lightened Suppressor,Muzzle,L85A3,30
Linear Comp,Muzzle,L85A3,10
Long Suppressor,Muzzle,L85A3,25
Single-Port Brake,Muzzle,L85A3,5
Standard Suppressor,Muzzle,L85A3,20
Canted Iron Sights,Optic Accessory,L85A3,5
Canted Reflex,Optic Accessory,L85A3,10
Piggyback Reflex,Optic Accessory,L85A3,10
Flashlight,Right Accessory,L85A3,10
Iron Sights,Scope,L85A3,5
MINI FLEX 1.00X,Scope,L85A3,10
R-MR 1.00X,Scope,L85A3,10
OSA-7 1.00x,Scope,L85A3,10
CQ RDS 1.25X,Scope,L85A3,10
RO-S 1.25X,Scope,L85A3,10
2PRO 1.25X,Scope,L85A3,10
ROX 1.50X,Scope,L85A3,10
SU-123 1.50X,Scope,L85A3,10
1P87 1.50X,Scope,L85A3,10
A-P2 1.75X,Scope,L85A3,10
RO-M 1.75x,Scope,L85A3,10
3VZR 1.75X,Scope,L85A3,10
CCO 2.00x,Scope,L85A3,10
R4T 2.00X,Scope,L85A3,10
BF-2M 2.50x,Scope,L85A3,10
BAKER 3.00X,Scope,L85A3,10
SDO 3.50X,Scope,L85A3,10
PVQ-31 4.00x,Scope,L85A3,10
LDS 4.50X,Scope,L85A3,10
ST PRISIM 5.00X,Scope,L85A3,10
SF-G2 5.00X,Scope,L85A3,10
MARS-F LPVO,Scope,L85A3,25
MC-CO LPVO,Scope,L85A3,25
DVO LPVO,Scope,L85A3,25
GRIM 1.50X,Scope,L85A3,25
PAS-35 3.00X,Scope,L85A3,25
5 MW Red,Top Accessory,L85A3,10
5 MW Green,Top Accessory,L85A3,10
50 MW Green,Top Accessory,L85A3,20
50 MW Blue,Top Accessory,L85A3,20
120 MW Blue,Top Accessory,L85A3,30
6H64 Vertical,Underbarrel,L85A3,25
Adjustable Angled,Underbarrel,L85A3,15
Alloy Vertical,Underbarrel,L85A3,20
Bipod,Underbarrel,L85A3,10
Canted Stubby,Underbarrel,L85A3,30
Classic Grip Pod,Underbarrel,L85A3,30
Classic Vertical,Underbarrel,L85A3,35
Folding Stubby,Underbarrel,L85A3,20
Folding Vertical,Underbarrel,L85A3,10
Full Angled,Underbarrel,L85A3,25
Low-Profile Stubby,Underbarrel,L85A3,45
PTT Grip Pod,Underbarrel,L85A3,20
QD Grip Pod,Underbarrel,L85A3,30
Ribbed Stubby,Underbarrel,L85A3,30
Ribbed Vertical,Underbarrel,L85A3,20
Slim Angled,Underbarrel,L85A3,25
Stippled Stubby,Underbarrel,L85A3,35
Underslung Mount,Underbarrel,L85A3,10
FMJ,Ammunition,LMR27,5
Tungsten Core,Ammunition,LMR27,5
Hollow Point,Ammunition,LMR27,20
Frangible,Ammunition,LMR27,20
Synthetic Tip,Ammunition,LMR27,30
"21.5"" Factory",Barrel,LMR27,10
"24"" Extended",Barrel,LMR27,15
"21.5"" Fluted",Barrel,LMR27,20
Flashlight,Left Accessory,LMR27,10
Range Finder,Left Accessory,LMR27,15
10RND Fast Mag,Magazine,LMR27,10
10RND Magazine,Magazine,LMR27,5
15RND Fast Mag,Magazine,LMR27,25
15RND Magazine,Magazine,LMR27,20
20RND Fast Mag,Magazine,LMR27,50
20RND Magazine,Magazine,LMR27,45
Compensated Brake,Muzzle,LMR27,20
CQB Suppressor,Muzzle,LMR27,30
Double-Port Brake,Muzzle,LMR27,10
Flash Hider,Muzzle,LMR27,10
Lightened Suppressor,Muzzle,LMR27,30
Linear Comp,Muzzle,LMR27,10
Long Suppressor,Muzzle,LMR27,25
Single-Port Brake,Muzzle,LMR27,5
Standard Suppressor,Muzzle,LMR27,20
Canted Iron Sights,Optic Accessory,LMR27,5
Canted Reflex,Optic Accessory,LMR27,10
Piggyback Reflex,Optic Accessory,LMR27,10
5 MW Red,Right Accessory,LMR27,10
5 MW Green,Right Accessory,LMR27,10
50 MW Green,Right Accessory,LMR27,20
50 MW Blue,Right Accessory,LMR27,20
120 MW Blue,Right Accessory,LMR27,30
Iron Sights,Scope,LMR27,5
MINI FLEX 1.00X,Scope,LMR27,10
R-MR 1.00X,Scope,LMR27,10
OSA-7 1.00x,Scope,LMR27,10
CQ RDS 1.25X,Scope,LMR27,10
RO-S 1.25X,Scope,LMR27,10
2PRO 1.25X,Scope,LMR27,10
ROX 1.50X,Scope,LMR27,10
SU-123 1.50X,Scope,LMR27,10
1P87 1.50X,Scope,LMR27,10
A-P2 1.75X,Scope,LMR27,10
RO-M 1.75x,Scope,LMR27,10
3VZR 1.75X,Scope,LMR27,10
CCO 2.00x,Scope,LMR27,10
R4T 2.00X,Scope,LMR27,10
BF-2M 2.50x,Scope,LMR27,10
BAKER 3.00X,Scope,LMR27,10
SDO 3.50X,Scope,LMR27,10
PVQ-31 4.00x,Scope,LMR27,10
LDS 4.50X,Scope,LMR27,10
ST PRISIM 5.00X,Scope,LMR27,10
S-VPS 6.00X,Scope,LMR27,10
SF-G2 5.00X,Scope,LMR27,10
SSDS 6.00X,Scope,LMR27,10
NFX 8.00X,Scope,LMR27,10
LERT 8.00X,Scope,LMR27,10
R-VPS 10.00X,Scope,LMR27,10
MARS-F LPVO,Scope,LMR27,25
MC-CO LPVO,Scope,LMR27,25
DVO LPVO,Scope,LMR27,25
SM RIFLE VARIABLE,Scope,LMR27,25
1P88 VARIABLE,Scope,LMR27,25
GRIM 1.50X,Scope,LMR27,25
PAS-35 3.00X,Scope,LMR27,25
TS-HD 6.00X,Scope,LMR27,25
6H64 Vertical,Underbarrel,LMR27,25
Adjustable Angled,Underbarrel,LMR27,15
Alloy Vertical,Underbarrel,LMR27,20
Bipod,Underbarrel,LMR27,10
Canted Stubby,Underbarrel,LMR27,30
Classic Grip Pod,Underbarrel,LMR27,30
Classic Vertical,Underbarrel,LMR27,35
Factory Angled,Underbarrel,LMR27,25
Folding Stubby,Underbarrel,LMR27,20
Folding Vertical,Underbarrel,LMR27,10
Full Angled,Underbarrel,LMR27,25
Low-Profile Stubby,Underbarrel,LMR27,45
PTT Grip Pod,Underbarrel,LMR27,20
QD Grip Pod,Underbarrel,LMR27,30
Ribbed Stubby,Underbarrel,LMR27,30
Ribbed Vertical,Underbarrel,LMR27,20
Stippled Stubby,Underbarrel,LMR27,35
FMJ,Ammunition,M/60,5
Tungsten Core,Ammunition,M/60,5
Hollow Point,Ammunition,M/60,20
Frangible,Ammunition,M/60,20
"17"" Factory",Barrel,M/60,10
"22"" E3 Long",Barrel,M/60,10
"17"" Fluted",Barrel,M/60,20
Flashlight,Left Accessory,M/60,10
100RND Belt Pouch,Magazine,M/60,5
50RND Loose Belt,Magazine,M/60,5
Compensated Brake,Muzzle,M/60,20
CQB Suppressor,Muzzle,M/60,30
Double-Port Brake,Muzzle,M/60,10
Flash Hider,Muzzle,M/60,10
Lightened Suppressor,Muzzle,M/60,30
Linear Comp,Muzzle,M/60,10
Long Suppressor,Muzzle,M/60,25
Single-Port Brake,Muzzle,M/60,10
Standard Suppressor,Muzzle,M/60,20
Canted Iron Sights,Optic Accessory,M/60,5
Canted Reflex,Optic Accessory,M/60,10
Piggyback Reflex,Optic Accessory,M/60,10
5 MW Red,Right Accessory,M/60,10
5 MW Green,Right Accessory,M/60,10
50 MW Green,Right Accessory,M/60,20
50 MW Blue,Right Accessory,M/60,20
120 MW Blue,Right Accessory,M/60,30
Iron Sights,Scope,M/60,5
MINI FLEX 1.00X,Scope,M/60,10
R-MR 1.00X,Scope,M/60,10
OSA-7 1.00x,Scope,M/60,10
CQ RDS 1.25X,Scope,M/60,10
RO-S 1.25X,Scope,M/60,10
2PRO 1.25X,Scope,M/60,10
ROX 1.50X,Scope,M/60,10
SU-123 1.50X,Scope,M/60,10
1P87 1.50X,Scope,M/60,10
A-P2 1.75X,Scope,M/60,10
RO-M 1.75x,Scope,M/60,10
3VZR 1.75X,Scope,M/60,10
CCO 2.00x,Scope,M/60,10
R4T 2.00X,Scope,M/60,10
BF-2M 2.50x,Scope,M/60,10
BAKER 3.00X,Scope,M/60,10
SDO 3.50X,Scope,M/60,10
PVQ-31 4.00x,Scope,M/60,10
LDS 4.50X,Scope,M/60,10
ST PRISIM 5.00X,Scope,M/60,10
SF-G2 5.00X,Scope,M/60,10
MC-CO LPVO,Scope,M/60,25
DVO LPVO,Scope,M/60,25
GRIM 1.50X,Scope,M/60,25
PAS-35 3.00X,Scope,M/60,25
MARS-F LPVO,Scope,M/60,25
6H64 Vertical,Underbarrel,M/60,25
Adjustable Angled,Underbarrel,M/60,15
Alloy Vertical,Underbarrel,M/60,20
Bipod,Underbarrel,M/60,10
Canted Stubby,Underbarrel,M/60,30
Classic Grip Pod,Underbarrel,M/60,30
Classic Vertical,Underbarrel,M/60,35
Folding Stubby,Underbarrel,M/60,20
Folding Vertical,Underbarrel,M/60,10
Full Angled,Underbarrel,M/60,25
Low-Profile Stubby,Underbarrel,M/60,45
PTT Grip Pod,Underbarrel,M/60,20
QD Grip Pod,Underbarrel,M/60,30
Ribbed Stubby,Underbarrel,M/60,30
Ribbed Vertical,Underbarrel,M/60,20
Slim Angled,Underbarrel,M/60,25
Stippled Stubby,Underbarrel,M/60,35
Buckshot,Ammunition,M1014,10
Flechette,Ammunition,M1014,30
Slugs,Ammunition,M1014,40
"18.5"" Factory",Barrel,M1014,10
Flashlight,Left Accessory,M1014,10
4 Shell Tube,Magazine,M1014,5
6 Shell Tube,Magazine,M1014,5
CQB Suppressor,Muzzle,M1014,30
Lightened Suppressor,Muzzle,M1014,30
5 MW Red,Right Accessory,M1014,10
5 MW Green,Right Accessory,M1014,10
50 MW Green,Right Accessory,M1014,20
50 MW Blue,Right Accessory,M1014,20
120 MW Blue,Right Accessory,M1014,30
Iron Sights,Scope,M1014,5
MINI FLEX 1.00X,Scope,M1014,10
R-MR 1.00X,Scope,M1014,10
OSA-7 1.00x,Scope,M1014,10
CQ RDS 1.25X,Scope,M1014,10
RO-S 1.25X,Scope,M1014,10
2PRO 1.25X,Scope,M1014,10
ROX 1.50X,Scope,M1014,10
SU-123 1.50X,Scope,M1014,10
1P87 1.50X,Scope,M1014,10
A-P2 1.75X,Scope,M1014,10
RO-M 1.75x,Scope,M1014,10
3VZR 1.75X,Scope,M1014,10
CCO 2.00x,Scope,M1014,10
R4T 2.00X,Scope,M1014,10
BF-2M 2.50x,Scope,M1014,10
BAKER 3.00X,Scope,M1014,10
SDO 3.50X,Scope,M1014,10
PVQ-31 4.00x,Scope,M1014,10
LDS 4.50X,Scope,M1014,10
ST PRISIM 5.00X,Scope,M1014,10
SF-G2 5.00X,Scope,M1014,10
MARS-F LPVO,Scope,M1014,25
GRIM 1.50X,Scope,M1014,25
PAS-35 3.00X,Scope,M1014,25
6H64 Vertical,Underbarrel,M1014,25
Adjustable Angled,Underbarrel,M1014,15
Alloy Vertical,Underbarrel,M1014,20
Canted Stubby,Underbarrel,M1014,30
Classic Vertical,Underbarrel,M1014,35
Folding Stubby,Underbarrel,M1014,20
Folding Vertical,Underbarrel,M1014,10
Full Angled,Underbarrel,M1014,25
Low-Profile Stubby,Underbarrel,M1014,45
Ribbed Stubby,Underbarrel,M1014,30
Ribbed Vertical,Underbarrel,M1014,20
Slim Angled,Underbarrel,M1014,25
Stippled Stubby,Underbarrel,M1014,35
FMJ,Ammunition,M123K,5
Tungsten Core,Ammunition,M123K,5
Hollow Point,Ammunition,M123K,20
Frangible,Ammunition,M123K,20
450MM Standard,Barrel,M123K,10
612MM VMW,Barrel,M123K,10
370MM Compact,Barrel,M123K,15
Flashlight,Left Accessory,M123K,10
100RND Belt Pouch,Magazine,M123K,5
200RND Belt Box,Magazine,M123K,55
Compensated Brake,Muzzle,M123K,20
CQB Suppressor,Muzzle,M123K,30
Double-Port Brake,Muzzle,M123K,10
Flash Hider,Muzzle,M123K,10
Lightened Suppressor,Muzzle,M123K,30
Linear Comp,Muzzle,M123K,10
Long Suppressor,Muzzle,M123K,25
Standard Suppressor,Muzzle,M123K,20
Canted Iron Sights,Optic Accessory,M123K,5
Canted Reflex,Optic Accessory,M123K,10
5 MW Red,Right Accessory,M123K,10
5 MW Green,Right Accessory,M123K,10
50 MW Green,Right Accessory,M123K,20
50 MW Blue,Right Accessory,M123K,20
120 MW Blue,Right Accessory,M123K,30
Iron Sights,Scope,M123K,5
MINI FLEX 1.00X,Scope,M123K,10
R-MR 1.00X,Scope,M123K,10
OSA-7 1.00x,Scope,M123K,10
CQ RDS 1.25X,Scope,M123K,10
RO-S 1.25X,Scope,M123K,10
2PRO 1.25X,Scope,M123K,10
ROX 1.50X,Scope,M123K,10
SU-123 1.50X,Scope,M123K,10
1P87 1.50X,Scope,M123K,10
A-P2 1.75X,Scope,M123K,10
RO-M 1.75x,Scope,M123K,10
3VZR 1.75X,Scope,M123K,10
CCO 2.00x,Scope,M123K,10
R4T 2.00X,Scope,M123K,10
BF-2M 2.50x,Scope,M123K,10
BAKER 3.00X,Scope,M123K,10
SDO 3.50X,Scope,M123K,10
PVQ-31 4.00x,Scope,M123K,10
LDS 4.50X,Scope,M123K,10
ST PRISIM 5.00X,Scope,M123K,10
SF-G2 5.00X,Scope,M123K,10
MARS-F LPVO,Scope,M123K,25
MC-CO LPVO,Scope,M123K,25
DVO LPVO,Scope,M123K,25
GRIM 1.50X,Scope,M123K,25
PAS-35 3.00X,Scope,M123K,25
6H64 Vertical,Underbarrel,M123K,25
Alloy Vertical,Underbarrel,M123K,20
Bipod,Underbarrel,M123K,10
Canted Stubby,Underbarrel,M123K,30
Classic Grip Pod,Underbarrel,M123K,30
Classic Vertical,Underbarrel,M123K,35
Folding Stubby,Underbarrel,M123K,20
Folding Vertical,Underbarrel,M123K,10
Full Angled,Underbarrel,M123K,25
Low-Profile Stubby,Underbarrel,M123K,45
PTT Grip Pod,Underbarrel,M123K,20
QD Grip Pod,Underbarrel,M123K,30
Ribbed Stubby,Underbarrel,M123K,30
Ribbed Vertical,Underbarrel,M123K,20
Stippled Stubby,Underbarrel,M123K,35
FMJ,Ammunition,M2010 ESR,5
Tungsten Core,Ammunition,M2010 ESR,5
Match Grade,Ammunition,M2010 ESR,10
Frangible,Ammunition,M2010 ESR,20
"24"" Fluted",Barrel,M2010 ESR,20
"24"" Full",Barrel,M2010 ESR,10
"26"" Carbon",Barrel,M2010 ESR,15
DLC Bolt,Ergonomics,M2010 ESR,30
Range Finder,Left Accessory,M2010 ESR,15
Flashlight,Left Accessory,M2010 ESR,10
5RND Fast Mag,Magazine,M2010 ESR,10
5RND Magazine,Magazine,M2010 ESR,5
8RND Magazine,Magazine,M2010 ESR,25
Compensated Brake,Muzzle,M2010 ESR,20
CQB Suppressor,Muzzle,M2010 ESR,30
Double-Port Brake,Muzzle,M2010 ESR,10
Flash Hider,Muzzle,M2010 ESR,10
Lightened Suppressor,Muzzle,M2010 ESR,30
Long Suppressor,Muzzle,M2010 ESR,25
Single-Port Brake,Muzzle,M2010 ESR,5
Standard Suppressor,Muzzle,M2010 ESR,20
Canted Reflex,Optic Accessory,M2010 ESR,10
Canted Iron Sights,Optic Accessory,M2010 ESR,5
Adjustable Magnification 2.00X,Optic Accessory,M2010 ESR,10
Adjustable Magnification 3.00X,Optic Accessory,M2010 ESR,10
Adjustable Magnification 4.00X,Optic Accessory,M2010 ESR,10
Anti-Glare Coating,Optic Accessory,M2010 ESR,10
Iron Sights,Scope,M2010 ESR,15
S-VPS 6.00X,Scope,M2010 ESR,10
MINI FLEX 1.00X,Scope,M2010 ESR,10
R-MR 1.00X,Scope,M2010 ESR,10
OSA-7 1.00x,Scope,M2010 ESR,10
CQ RDS 1.25X,Scope,M2010 ESR,10
RO-S 1.25X,Scope,M2010 ESR,10
2PRO 1.25X,Scope,M2010 ESR,10
ROX 1.50X,Scope,M2010 ESR,10
SU-123 1.50X,Scope,M2010 ESR,10
1P87 1.50X,Scope,M2010 ESR,10
A-P2 1.75X,Scope,M2010 ESR,10
RO-M 1.75x,Scope,M2010 ESR,10
3VZR 1.75X,Scope,M2010 ESR,10
CCO 2.00x,Scope,M2010 ESR,10
R4T 2.00X,Scope,M2010 ESR,10
BF-2M 2.50x,Scope,M2010 ESR,10
BAKER 3.00X,Scope,M2010 ESR,10
SDO 3.50X,Scope,M2010 ESR,10
PVQ-31 4.00x,Scope,M2010 ESR,10
LDS 4.50X,Scope,M2010 ESR,10
ST PRISIM 5.00X,Scope,M2010 ESR,10
SF-G2 5.00X,Scope,M2010 ESR,10
SSDS 6.00X,Scope,M2010 ESR,10
NFX 8.00X,Scope,M2010 ESR,10
LERT 8.00X,Scope,M2010 ESR,10
R-VPS 10.00X,Scope,M2010 ESR,10
NGFC LPVO,Scope,M2010 ESR,25
MC-CO LPVO,Scope,M2010 ESR,25
DVO LPVO,Scope,M2010 ESR,25
SM RIFLE VARIABLE,Scope,M2010 ESR,25
1P88 VARIABLE,Scope,M2010 ESR,25
GRIM 1.50X,Scope,M2010 ESR,25
PAS-35 3.00X,Scope,M2010 ESR,25
TS-HD 6.00X,Scope,M2010 ESR,25
5 MW Red,Top Accessory,M2010 ESR,10
5 MW Green,Top Accessory,M2010 ESR,10
50 MW Green,Top Accessory,M2010 ESR,20
50 MW Blue,Top Accessory,M2010 ESR,20
120 MW Blue,Top Accessory,M2010 ESR,30
Bipod,Underbarrel,M2010 ESR,10
Classic Grip Pod,Underbarrel,M2010 ESR,20
Full Angled,Underbarrel,M2010 ESR,5
Low-Profile Stubby,Underbarrel,M2010 ESR,10
QD Grip Pod,Underbarrel,M2010 ESR,10
Slim Angled,Underbarrel,M2010 ESR,15
FMJ,Ammunition,M240L,5
Tungsten Core,Ammunition,M240L,5
Hollow Point,Ammunition,M240L,20
Frangible,Ammunition,M240L,20
"20"" Lima",Barrel,M240L,10
"24"" Bravo",Barrel,M240L,10
"20"" Oh",Barrel,M240L,20
Flashlight,Left Accessory,M240L,10
100RND Belt Box,Magazine,M240L,25
50RND Loose Belt,Magazine,M240L,5
75RND Belt Box,Magazine,M240L,10
Compensated Brake,Muzzle,M240L,20
CQB Suppressor,Muzzle,M240L,30
Double-Port Brake,Muzzle,M240L,10
Flash Hider,Muzzle,M240L,10
Lightened Suppressor,Muzzle,M240L,30
Linear Comp,Muzzle,M240L,10
Long Suppressor,Muzzle,M240L,25
Standard Suppressor,Muzzle,M240L,20
Canted Iron Sights,Optic Accessory,M240L,5
Canted Reflex,Optic Accessory,M240L,10
5 MW Red,Right Accessory,M240L,10
5 MW Green,Right Accessory,M240L,10
50 MW Green,Right Accessory,M240L,20
50 MW Blue,Right Accessory,M240L,20
120 MW Blue,Right Accessory,M240L,30
Iron Sights,Scope,M240L,5
MINI FLEX 1.00X,Scope,M240L,10
R-MR 1.00X,Scope,M240L,10
OSA-7 1.00x,Scope,M240L,10
CQ RDS 1.25X,Scope,M240L,10
RO-S 1.25X,Scope,M240L,10
2PRO 1.25X,Scope,M240L,10
ROX 1.50X,Scope,M240L,10
SU-123 1.50X,Scope,M240L,10
1P87 1.50X,Scope,M240L,10
A-P2 1.75X,Scope,M240L,10
RO-M 1.75x,Scope,M240L,10
3VZR 1.75X,Scope,M240L,10
CCO 2.00x,Scope,M240L,10
R4T 2.00X,Scope,M240L,10
BF-2M 2.50x,Scope,M240L,10
BAKER 3.00X,Scope,M240L,10
SDO 3.50X,Scope,M240L,10
PVQ-31 4.00x,Scope,M240L,10
LDS 4.50X,Scope,M240L,10
ST PRISIM 5.00X,Scope,M240L,10
SF-G2 5.00X,Scope,M240L,10
NGFC LPVO,Scope,M240L,25
MC-CO LPVO,Scope,M240L,25
DVO LPVO,Scope,M240L,25
GRIM 1.50X,Scope,M240L,25
PAS-35 3.00X,Scope,M240L,25
6H64 Vertical,Underbarrel,M240L,25
Alloy Vertical,Underbarrel,M240L,20
Bipod,Underbarrel,M240L,10
Canted Stubby,Underbarrel,M240L,30
Classic Grip Pod,Underbarrel,M240L,30
Classic Vertical,Underbarrel,M240L,35
Folding Stubby,Underbarrel,M240L,20
Folding Vertical,Underbarrel,M240L,10
Full Angled,Underbarrel,M240L,25
Low-Profile Stubby,Underbarrel,M240L,45
PTT Grip Pod,Underbarrel,M240L,2-
QD Grip Pod,Underbarrel,M240L,30
Ribbed Stubby,Underbarrel,M240L,30
